date,committee,reference_entity,issue_number,credit_event_type,decision,doc_type,url,source,title,tags,auction_date,auction_held,match_status,ticker,currency,final_price,initial_market_midpoint,net_open_interest_amount,net_open_interest_direction,transaction_type,auction_url,year,month,days_to_auction,is_restructuring,is_credit_event,credit_event_occurred
2009-12-09,EMEA,Hellas Telecommunications,,Bankruptcy,Determination published,decision,https://www.cdsdeterminationscommittees.org/docs/EMEA_Determinations_Committee_Decision_2009091203.pdf,reference,EMEA Determinations Committee Decision - Hellas,,,False,determination_only,,,,,,,,,2009,2009-12,,False,True,False
2010-03-26,Americas,Ambac Assurance Corporation,4000.0,Bankruptcy,DC credit event determination (auction held),decision,https://www.cdsdeterminationscommittees.org/cds/ambac-assurance-corporation/,dc-isda,Ambac Assurance Corporation,auction,2010-06-04,True,matched,ABK-AssurCorp,,20.0,,,,Senior,https://www.cdsdeterminationscommittees.org/cds/ambac-assurance-corporation/,2010,2010-03,70.0,False,True,True
2010-05-07,Americas,Ambac Assurance Corporation,325201001.0,,Determination published,decision,https://www.cdsdeterminationscommittees.org/docs/050710DeterminationsCommitteeDecision0325201001.pdf,reference,Determinations Committee Decision - Ambac,,2010-06-04,True,matched,ABK-AssurCorp,,20.0,,,,Senior,https://www.cdsdeterminationscommittees.org/cds/ambac-assurance-corporation/,2010,2010-05,28.0,False,False,True
2010-06-29,EMEA,TRUVO SUBSIDIARY CORP.,3000.0,Bankruptcy,DC credit event determination (auction held),decision,https://www.cdsdeterminationscommittees.org/cds/truvo-subsidiary-corp/,dc-isda,TRUVO SUBSIDIARY CORP.,auction,2010-07-15,True,matched,TRUVO-SubCo,,3.0,,,,Senior,https://www.cdsdeterminationscommittees.org/cds/truvo-subsidiary-corp/,2010,2010-06,16.0,False,True,True
2010-11-09,Americas,"Ambac Financial Group, Inc.",9001.0,Bankruptcy,DC credit event determination (auction held),decision,https://www.cdsdeterminationscommittees.org/cds/ambac-financial-group-inc/,dc-isda,"Ambac Financial Group, Inc.",auction,2010-12-10,True,matched,ABK,USD,9.5,,,,Senior,https://www.cdsdeterminationscommittees.org/cds/ambac-financial-group-inc/,2010,2010-11,31.0,False,True,True
2010-11-23,EMEA,ANGLO IRISH BANK CORPORATION LIMITED,9008.0,Restructuring,DC credit event determination (auction held),decision,https://www.cdsdeterminationscommittees.org/cds/anglo-irish-bank-corporation-limited-credit-event-december-restructuring/,dc-isda,ANGLO IRISH BANK CORPORATION LIMITED,auction,2010-12-09,True,matched,ANGBKL,EUR,18.0,,,,Subordinated - B3,https://www.cdsdeterminationscommittees.org/cds/anglo-irish-bank-corporation-limited/,2010,2010-11,16.0,True,True,True
2010-11-24,EMEA,ANGLO IRISH BANK CORPORATION LIMITED,9002.0,Restructuring,DC credit event determination (auction held),decision,https://www.cdsdeterminationscommittees.org/cds/anglo-irish-bank-corporation-limited/,dc-isda,ANGLO IRISH BANK CORPORATION LIMITED,auction,2010-12-09,True,matched,ANGBKL,EUR,18.0,,,,Subordinated - B3,https://www.cdsdeterminationscommittees.org/cds/anglo-irish-bank-corporation-limited/,2010,2010-11,15.0,True,True,True
2011-02-02,,Offering Memorandum Dated,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2015/11/offering-memorandum-dated-2-february-2011.pdf/,document-feed,Offering Memorandum dated 2 February 2011 &#8211; Latest Revision,,,False,determination_only,,,,,,,,,2011,2011-02,,False,False,False
2011-04-14,Japan,Takefuji Corporation,9000.0,Bankruptcy,DC credit event determination (auction held),decision,https://www.cdsdeterminationscommittees.org/cds/takefuji-corporation/,dc-isda,Takefuji Corporation,auction,2010-10-28,True,matched,TAKFUJ,,14.75,,,,Senior,https://www.cdsdeterminationscommittees.org/cds/takefuji-corporation/,2011,2011-04,-168.0,False,True,True
2011-06-16,EMEA,ALLIED IRISH BANKS PUBLIC LIMITED COMPANY,9009.0,Failure to Pay,DC credit event determination (auction held),decision,https://www.cdsdeterminationscommittees.org/cds/allied-irish-banks-plc-3/,dc-isda,ALLIED IRISH BANKS PUBLIC LIMITED COMPANY,auction,2011-06-30,True,matched,AIB,,70.125,,,,Senior,https://www.cdsdeterminationscommittees.org/cds/allied-irish-banks-plc-3/,2011,2011-06,14.0,False,True,True
2011-07-05,EMEA,IRISH LIFE & PERMANENT PUBLIC LIMITED COMPANY,9013.0,Restructuring,DC credit event determination (auction held),decision,https://www.cdsdeterminationscommittees.org/cds/irish-life-permanent-plc/,dc-isda,IRISH LIFE & PERMANENT PUBLIC LIMITED COMPANY,auction,2011-07-29,True,matched,IPBS,EUR,83.0,,,,Senior - B1,https://www.cdsdeterminationscommittees.org/cds/irish-life-permanent-plc/,2011,2011-07,24.0,True,True,True
2011-07-11,,Dc Rules Vs Dc Rules Published July,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2014/03/blackline-dc-rules-2014-vs-dc-rules-published-july-11-2011.pdf/,document-feed,"Blackline &#8211; DC Rules 2014 vs DC Rules published July 11, 2011 &#8211; Latest Revision",,,False,determination_only,,,,,,,,,2011,2011-07,,False,False,False
2011-07-11,EMEA,The Governor and Company of the Bank of Ireland,9012.0,Restructuring,DC credit event determination (auction held),decision,https://www.cdsdeterminationscommittees.org/cds/the-governor-and-company-of-the-bank-of-ireland/,dc-isda,The Governor and Company of the Bank of Ireland,auction,2011-07-28,True,matched,BKIR,EUR,86.5,,,,Senior/Subordinated - B1,https://www.cdsdeterminationscommittees.org/cds/the-governor-and-company-of-the-bank-of-ireland/,2011,2011-07,17.0,True,True,True
